iter	RMSE
0	0.1288184398
1	0.1170599268
2	0.1063338126
3	0.09657538117
4	0.08771303917
5	0.07978227107
6	0.07270372764
7	0.06636981076
8	0.06066819643
9	0.05561188115
10	0.05118361195
11	0.04716605246
12	0.04358048051
13	0.04042433408
14	0.03767448029
15	0.03526644591
16	0.03314841037
17	0.0313636579
18	0.02975690501
19	0.02836976817
20	0.02719706533
21	0.02615595109
22	0.02529915624
23	0.02459602063
24	0.02398798058
25	0.02344358545
26	0.02296854893
27	0.02256977311
28	0.02226993521
29	0.02200148503
30	0.0217697506
31	0.021556615
32	0.02137859923
33	0.0212503341
34	0.021119155
35	0.02102362105
36	0.02092830807
37	0.02083801218
38	0.02076770618
39	0.02069455878
40	0.02063359906
41	0.02058159595
42	0.02054359571
43	0.02050554697
44	0.02047203274
45	0.02044209089
46	0.02040282148
47	0.02038409739
48	0.0203570832
49	0.02033334745
50	0.02031317125
51	0.02027868984
52	0.02026269216
53	0.02024044048
54	0.02021451825
55	0.02019297321
56	0.02017849612
57	0.02016937697
58	0.02016186053
59	0.0201478501
60	0.02013783716
61	0.02011634868
62	0.02009647765
63	0.02007369669
64	0.02005089853
65	0.02004221635
66	0.02001588486
67	0.02000998023
68	0.01999714141
69	0.0199829816
70	0.01996854757
71	0.01996513031
72	0.01994857094
73	0.01993312384
74	0.01992507338
75	0.0199186347
76	0.01990567997
77	0.01989300353
78	0.01988290066
79	0.01987486994
80	0.01986608539
81	0.01985645342
82	0.01985220324
83	0.01983968045
84	0.01982947345
85	0.01981956979
86	0.01981376552
87	0.0198064317
88	0.01980006952
89	0.01978800373
90	0.01977347401
91	0.01975672572
92	0.01974200243
93	0.01973399711
94	0.01972843282
95	0.01972704463
96	0.01972460122
97	0.01972381349
98	0.01970046731
99	0.01969939349
100	0.01968715442
101	0.01968319665
102	0.01967975724
103	0.01966726015
104	0.01965094084
105	0.01964032275
106	0.01962621987
107	0.01961062718
108	0.0196001019
109	0.01959480801
110	0.01958976508
111	0.0195765329
112	0.01955743916
113	0.01955518034
114	0.01955429586
115	0.01953982725
116	0.01953298309
117	0.01952571675
118	0.01951090797
119	0.01950342329
120	0.01949258581
121	0.01948844787
122	0.01947719031
123	0.01946659548
124	0.01945886426
125	0.01945013301
126	0.01944561298
127	0.01943779116
128	0.01943508772
129	0.01942953645
130	0.01942100869
131	0.01941733251
132	0.01940311984
133	0.01938705981
134	0.01936971038
135	0.01935838917
136	0.01935382567
137	0.01934291588
138	0.01933145329
139	0.01931468079
140	0.01931099579
141	0.01929852581
142	0.01929344023
143	0.01928873026
144	0.01928502421
145	0.01927682173
146	0.01927656382
147	0.01926835815
148	0.0192636077
149	0.01926084616
150	0.01925734048
151	0.01924089711
152	0.01923683117
153	0.01923202037
154	0.01922841742
155	0.01920997003
156	0.01920149051
157	0.01919885537
158	0.01919343476
159	0.01918896975
160	0.01918343942
161	0.01917884837
162	0.01917282059
163	0.01916318772
164	0.01915365415
165	0.01915279501
166	0.0191476456
167	0.01913664735
168	0.01913006694
169	0.01912731362
170	0.01912525564
171	0.01912120172
172	0.01911815954
173	0.01911751484
174	0.01910490708
175	0.01908990211
176	0.01907924832
177	0.01906748066
178	0.01906017007
179	0.0190514503
180	0.01904623898
181	0.01904293455
182	0.01903886562
183	0.01903005309
184	0.01902838003
185	0.01902366131
186	0.01901673461
187	0.01901338742
188	0.0190078505
189	0.01900433545
190	0.01899879873
191	0.0189973625
192	0.01898024892
193	0.01897413551
194	0.01896575901
195	0.01895235379
196	0.01894517756
197	0.01893402354
198	0.01892787611
199	0.01892760178
